,시도별,월별,사고건수(건),사망자수(명),부상자수(명)
1,서울,1월,2874,18,3868
2,서울,2월,2176,16,2919
3,서울,3월,2187,12,2852
4,서울,4월,2847,23,3905
5,서울,5월,3030,19,4065
6,서울,6월,2748,16,3697
7,서울,7월,3021,23,4026
8,서울,8월,2734,19,3705
9,서울,9월,2965,21,3940
10,서울,10월,3137,15,4256
11,서울,11월,2906,14,3900
12,서울,12월,3073,25,4196
14,부산,1월,886,12,1188
15,부산,2월,746,7,1000
16,부산,3월,774,3,1002
17,부산,4월,955,9,1336
18,부산,5월,1056,4,1422
19,부산,6월,921,15,1253
20,부산,7월,897,13,1252
21,부산,8월,872,10,1216
22,부산,9월,918,11,1222
23,부산,10월,1006,8,1379
24,부산,11월,915,16,1274
25,부산,12월,936,5,1285
27,대구,1월,881,3,1272
28,대구,2월,714,2,1010
29,대구,3월,803,5,1093
30,대구,4월,946,7,1359
31,대구,5월,1050,9,1531
32,대구,6월,943,4,1353
33,대구,7월,997,9,1399
34,대구,8월,881,5,1330
35,대구,9월,964,2,1362
36,대구,10월,989,11,1358
37,대구,11월,1040,9,1411
38,대구,12월,894,2,1243
40,인천,1월,710,11,988
41,인천,2월,451,6,637
42,인천,3월,523,7,683
43,인천,4월,604,7,821
44,인천,5월,681,7,902
45,인천,6월,635,7,855
46,인천,7월,681,6,920
47,인천,8월,636,10,896
48,인천,9월,698,12,980
49,인천,10월,712,9,974
50,인천,11월,648,6,893
51,인천,12월,716,7,984
53,광주,1월,577,4,882
54,광주,2월,426,2,656
55,광주,3월,515,6,740
56,광주,4월,579,1,893
57,광주,5월,685,8,1065
58,광주,6월,633,3,928
59,광주,7월,626,11,959
60,광주,8월,581,2,867
61,광주,9월,653,5,970
62,광주,10월,654,9,1016
63,광주,11월,611,4,878
64,광주,12월,582,3,868
66,대전,1월,539,3,777
67,대전,2월,403,2,572
68,대전,3월,540,7,779
69,대전,4월,570,5,806
70,대전,5월,621,4,899
71,대전,6월,564,3,813
72,대전,7월,589,0,856
73,대전,8월,512,3,712
74,대전,9월,618,4,924
75,대전,10월,654,6,955
76,대전,11월,652,5,910
77,대전,12월,579,9,847
79,울산,1월,287,0,413
80,울산,2월,221,2,319
81,울산,3월,235,4,348
82,울산,4월,278,5,377
83,울산,5월,368,2,504
84,울산,6월,341,1,468
85,울산,7월,303,2,437
86,울산,8월,309,4,422
87,울산,9월,305,2,431
88,울산,10월,345,3,472
89,울산,11월,341,4,507
90,울산,12월,327,3,479
92,세종,1월,46,0,56
93,세종,2월,44,1,62
